scenario_group,scenario_name,scenario_variant,variable,use_technology_fuel,country,model,unit,time_resolution,timestamp,value
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.02.2050 17:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.02.2050 18:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.02.2050 19:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.02.2050 20:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.02.2050 21:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.02.2050 22:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.02.2050 23:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.07.2050 00:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.07.2050 01:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.07.2050 02:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.07.2050 03:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.07.2050 04:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.07.2050 05:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.07.2050 06:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.07.2050 07:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.07.2050 08:00,2.3364139
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.07.2050 09:00,3.0360541
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.07.2050 10:00,3.0783975
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.07.2050 11:00,2.4566166
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.07.2050 12:00,1.9622947
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.07.2050 13:00,2.7660198
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.07.2050 14:00,2.7826192
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.07.2050 15:00,1.7161212
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.07.2050 16:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.07.2050 17:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.07.2050 18:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.07.2050 19:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.07.2050 20:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.07.2050 21:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.07.2050 22:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,phs_in,CH,seseth,GW,typical-day,01.07.2050 23:00,0
cross202209,abroad-together,reference,electricity_consumption_typical_day,road_public,CH,seseth,GW,typical-day,01.02.2050 01:00,2.513034393
cross202209,abroad-together,reference,electricity_consumption_typical_day,road_public,CH,seseth,GW,typical-day,01.02.2050 02:00,2.728313065
cross202209,abroad-together,reference,electricity_consumption_typical_day,road_public,CH,seseth,GW,typical-day,01.02.2050 03:00,1.820742517
cross202209,abroad-together,reference,electricity_consumption_typical_day,road_public,CH,seseth,GW,typical-day,01.02.2050 04:00,2.900336177
cross202209,abroad-together,reference,electricity_consumption_typical_day,road_public,CH,seseth,GW,typical-day,01.02.2050 05:00,2.024915577
cross202209,abroad-together,reference,electricity_consumption_typical_day,road_public,CH,seseth,GW,typical-day,01.02.2050 06:00,2.837787176
cross202209,abroad-together,reference,electricity_consumption_typical_day,road_public,CH,seseth,GW,typical-day,01.02.2050 07:00,0.176805384
cross202209,abroad-together,reference,electricity_consumption_typical_day,road_public,CH,seseth,GW,typical-day,01.02.2050 08:00,0.98642696
